"","Name_on_tree_tip","Lat","Long"
"1","MerinaMalagasy",-19,46
"2","PhanRangChamEasternCham",11,108
"3","Moken",11.78,98.28
"4","Melayu",5,103
"5","CiuliAtayal",24,121
"6","Bunun",24,121
"7","Puyuma",23,121
"8","Cebuano",10.2,123.65
"9","Bajo",5.09,119.97
"10","Yami",22.05,121.55
"11","WBukidnonManobo",8,126
"12","KalingaGuinaangLubuagan_D",18,121
"13","KoronadalBlaan",6,125
"14","AklanonBisayan",10,123
"15","KankanayNorthern",17,121
"16","IfugaoBatad",17,121
"17","SubanunSindangan",8,123
"18","Hanunoo",13,121
"19","Paiwan",22.44,120.77
"20","TagbanwaAborlan_D",10,119
"21","CentralAmis",22.7,121.05
"22","Iban",2,112
"23","OldJavanese",-7,110
"24","TobaBatak",2,99
"25","Minangkabau",-1,101
"26","Makassar",-5.31,119.69
"27","Kodi",-9.66,119.07
"28","RotiTermanu_D",-10.71,123.18
"29","TaeSToraja",-2,121
"30","Selaru",-8.19,130.96
"31","Motu",-9,147
"32","Mekeo",-9,147
"33","Manam",-4.08,145.03
"34","Wogeo",-3.24,144.1
"35","Waropen",-2.14,137.23
"36","Palauan",7.45,134.54
"37","Mortlockese",6.89,152.74
"38","Kusaie",5.31,162.98
"39","Marshallese",11.7,165.29
"40","Kiribati",3.38,172.99
"41","SaipanCarolinian",15.21,145.76
"42","Woleaian",7.46,146.38
"43","MarshalleseE_D",6.28,169.49
"44","ChuukeseAKATrukese",7.34,151.6
"45","Woleai",7.25,144.46
"46","Ponapean",6.88,158.22
"47","Chamorro",15.13,145.71
"48","VaghuaChoiseul",-6.69,156.52
"49","Suau",-10.41,149.91
"50","Bwaidoga",-9.44,150.33
"51","Vitu",-4.67,149.53
"52","Kwaio",-9,161
"53","Molima",-10,151
"54","Kilivila",-8.43,151.09
"55","Dobuan",-10,151
"56","Saa",-9.63,161.44
"57","Lakalai",-5.5,150.81
"58","Simbo",-8,157
"59","Mota",-13.84,167.7
"60","TannaSouthwest",-19.6,169.44
"61","SyeErromangan",-18.85,169.16
"62","FijianBau",-17.81,178.32
"63","Nahavaq",-16.51,167.47
"64","Lau",-17.74,-179.31
"65","Rotuman",-12.5,177.07
"66","Dehu",-20.94,167.23
"67","Samoan",-13.68,-172.41
"68","Rennellese",-11.74,160.42
"69","Tongan",-19.74,-175.07
"70","Tikopia",-12.29,168.83
"71","Tuvalu",-7.48,178.68
"72","Luangiua",-5.48,159.7
"73","Tokelau",-9.2,-171.85
"74","Kapingamarangi",1.09,154.8
"75","Futuna",-14.31,-178.11
"76","Niue",-19.05,-169.86
"77","Rarotongan",-21.93,-157.91
"78","Penrhyn",-9.02,-158.03
"79","Maori",-38.41,176.31
"80","Marquesan",-8.9,-140.08
"81","Tuamotu",-15.94,-142.31
"82","Hawaiian",19.89,-155.83
"83","Mangareva",-23.12,-134.97
"84","TahitianModern",-17.71,-149.54
"85","RapanuiEasterIsland",-27.12,-109.36
